province_name,topic_name,subtopic_name,cluster_group,subtopic_score
آذربایجان شرقی,معنویت و ارزش‌های دینی,باور دینی,1,28.915697
آذربایجان شرقی,معنویت و ارزش‌های دینی,عمل دینی,1,7.8255844
آذربایجان شرقی,معنویت و ارزش‌های دینی,هویت و پیوند دینی,1,10.405131
آذربایجان شرقی,معنویت و ارزش‌های دینی,مشارکت مذهبی,1,27.859726
آذربایجان شرقی,معنویت و ارزش‌های دینی,سبک زندگی دینی,1,15.422077
آذربایجان شرقی,زندگی خانوادگی,تشکیل خانواده,1,29.855642
آذربایجان شرقی,زندگی خانوادگی,فرزندآوری,1,8.4792662
آذربایجان شرقی,زندگی خانوادگی,روابط خانوادگی,1,16.546751
آذربایجان شرقی,زندگی خانوادگی,پایداری خانواده,1,3.6049113
آذربایجان شرقی,مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,1,7.9589782
آذربایجان شرقی,مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,1,5.8791299
آذربایجان شرقی,مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,1,12.528069
آذربایجان شرقی,مصرف فرهنگی و رسانه‌ای,مد و فراغت,1,19.279764
آذربایجان شرقی,همبستگی و سرمایه اجتماعی,اعتماد و روابط اجتماعی,1,8.7922153
آذربایجان شرقی,همبستگی و سرمایه اجتماعی,هنجارها و سلامت نهادی,1,21.05172
آذربایجان شرقی,همبستگی و سرمایه اجتماعی,مشارکت و کنش جمعی,1,12.598902
آذربایجان شرقی,همبستگی و سرمایه اجتماعی,تعلق ملی,1,13.704815
آذربایجان شرقی,دانش و سرمایه انسانی,عدالت آموزشی,1,20.443821
آذربایجان شرقی,دانش و سرمایه انسانی,فراگیری آموزش,1,9.5200138
آذربایجان شرقی,دانش و سرمایه انسانی,کیفیت آموزشی,1,20.166792
آذربایجان شرقی,معیشت و فرهنگ اقتصادی,الگوی مصرف,1,23.368456
آذربایجان شرقی,معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,1,23.558617
آذربایجان شرقی,معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,1,53.890781
آذربایجان شرقی,معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,1,66.743813
آذربایجان شرقی,معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,1,40.016273
آذربایجان شرقی,رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,1,25.636606
آذربایجان شرقی,رفاه و عدالت اجتماعی,حمایت اجتماعی,1,29.346249
آذربایجان شرقی,رفاه و عدالت اجتماعی,زیرساخت آموزشی,1,24.155659
آذربایجان شرقی,رفاه و عدالت اجتماعی,سلامت و بهداشت,1,6.6756535
آذربایجان شرقی,رفاه و عدالت اجتماعی,مسکن و سرپناه,1,11.564021
آذربایجان شرقی,مسائل اجتماعی,جرم و ناامنی,1,41.448807
آذربایجان شرقی,مسائل اجتماعی,سلامت اجتماعی,1,34.801643
آذربایجان شرقی,مسائل اجتماعی,سبک زندگی و مصرف,1,26.27553
آذربایجان شرقی,مسائل اجتماعی,باورها و رفتارهای فرهنگی,1,30.482645
