indicator_name,description,source_name
نرخ تملک خودرو,سهم تملک خودرو درصد خانوارهایی را نشان می‌دهد که حداقل یک اتومبیل شخصی در اختیار دارند. از نگاه رفاهی، این عدد بیانگر سطح توانمندی اقتصادی و کیفیت حمل‌ونقل خانواده‌هاست. بررسی این آمار به ما کمک می‌کند تا میزان دسترسی مردم به امکانات رفاهی مدرن و تغییر در الگوی سفرهای درون‌شهری و برون‌شهری را در فرهنگ زندگی روزمره ایرانیان بسنجیم.,مرکز آمار
میزان کیفیت مسکن,این معیار بر اساس نوع مصالح و استحکام اسکلت‌بندی خانه‌ها محاسبه شده و سطح ایمنی محل زندگی خانواده‌ها را نشان می‌دهد؛ که در یک طیف عددی بین 0 تا 100 قرار دارد. نمره بالاتر به معنای استفاده از سازه‌های مهندسی و نمره پایین نشان‌دهنده مصالح ناپایدار است. این متغیر مستقیماً با امنیت فیزیکی در برابر حوادث طبیعی ارتباط دارد و نشان‌دهنده سطح برخورداری و استانداردهای رفاهی و مدرن در سکونت است.,مرکز آمار
نرخ اجاره‌نشینی,این شاخص سهم خانوارهایی را که در خانه‌های استیجاری زندگی می‌کنند، نسبت به کل انواع مالکیت مسکن نشان می‌دهد. بالا بودن این درصد، به معنای ناپایداری در سکونت و جابه‌جایی‌های مکرر خانواده‌هاست. از نگاه فرهنگی، افزایش اجاره‌نشینی می‌تواند بر تعاملات محلی و آرامش ذهنی خانوار تاثیر بگذارد و برنامه‌ریزی برای آینده و تثبیت الگوهای فرهنگی در محیط خانه را برای افراد دشوارتر کند.,مرکز آمار
امنیت غذایی روستایی,این شاخص از تقسیم مجموع هزینه‌های غذایی بر کل مخارج سالانه خانوار به دست می‌آید. بالا رفتن این نسبت نشان‌دهنده فشار اقتصادی است، زیرا خانواده ناچار می‌شود بخش بزرگی از بودجه خود را صرفاً برای تأمین نیازهای اولیه هزینه کند. کاهش این سهم، معمولاً نشان‌دهنده بهبود رفاه و افزایش توانایی برای هزینه‌کرد در امور فرهنگی است.,مرکز آمار
امنیت غذایی شهری,این شاخص از تقسیم مجموع هزینه‌های غذایی بر کل مخارج سالانه خانوار به دست می‌آید. بالا رفتن این نسبت نشان‌دهنده فشار اقتصادی است، زیرا خانواده ناچار می‌شود بخش بزرگی از بودجه خود را صرفاً برای تأمین نیازهای اولیه هزینه کند. کاهش این سهم، معمولاً نشان‌دهنده بهبود رفاه و افزایش توانایی برای هزینه‌کرد در امور فرهنگی است.,مرکز آمار
فشار مسکن روستایی,این شاخص نشان می‌دهد که چه درصدی از بودجه ماهانه خانوار صرف تأمین سرپناه (اجاره‌بها یا هزینه‌های نگهداری) می‌شود. در صورتی که این سهم از حد استاندارد فراتر رود، امنیت اقتصادی خانوار متزلزل شده و از سهم سایر هزینه‌های مهم مانند آموزش، بهداشت و تفریح به شدت کاسته می‌شود که آسیبی فرهنگی است.,مرکز آمار
فشار مسکن شهری,این شاخص نشان می‌دهد که چه درصدی از بودجه ماهانه خانوار صرف تأمین سرپناه (اجاره‌بها یا هزینه‌های نگهداری) می‌شود. در صورتی که این سهم از حد استاندارد فراتر رود، امنیت اقتصادی خانوار متزلزل شده و از سهم سایر هزینه‌های مهم مانند آموزش، بهداشت و تفریح به شدت کاسته می‌شود که آسیبی فرهنگی است.,مرکز آمار
مصرف تمایزی,این شاخص با نمره‌ای بین ۰ تا ۱۰۰، میزان گرایش افراد به خرید کالاهای مارک‌دار برای متفاوت بودن را می‌سنجد که در مقابل اولویت‌دهی به دوام و کیفیت کالا قرار می‌گیرد. نمره ۱۰۰ نشان‌دهنده بیشترین تمایل به مصرف نمایشی برای کسب منزلت اجتماعی است. این معیار، تحولات فرهنگی جامعه در انتخاب کالا و غلبه احتمالی مدگرایی بر مصرف‌گرایی منطقی را پایش می‌کند.,پیمایش ارزش‌ها و نگرش‌ها
متوسط هزینه‌های روستایی,این شاخص نشان‌دهنده مجموع کل هزینه‌های مصرفی یک خانوار در طول سال (به ریال) برای تأمین تمامی نیازهای زیستی، رفاهی و فرهنگی است. این عدد واحد، مقیاسی برای درک سطح معیشت و سبک زندگی عمومی جامعه محسوب می‌شود. بررسی روند این شاخص به ما کمک می‌کند تا حجم کلی مخارج خانواده‌های ایرانی و تغییرات قدرت خرید آن‌ها را در مواجهه با تورم و تحولات اقتصادی پایش کنیم.,مرکز آمار
متوسط هزینه‌های شهری,این شاخص نشان‌دهنده مجموع کل هزینه‌های مصرفی یک خانوار در طول سال (به ریال) برای تأمین تمامی نیازهای زیستی، رفاهی و فرهنگی است. این عدد واحد، مقیاسی برای درک سطح معیشت و سبک زندگی عمومی جامعه محسوب می‌شود. بررسی روند این شاخص به ما کمک می‌کند تا حجم کلی مخارج خانواده‌های ایرانی و تغییرات قدرت خرید آن‌ها را در مواجهه با تورم و تحولات اقتصادی پایش کنیم.,مرکز آمار
