indicator_name,province_name,year,value
نرخ تملک خودرو,آذربایجان شرقی,1370,4.7814341
نرخ تملک خودرو,آذربایجان غربی,1370,3.4895349
نرخ تملک خودرو,اصفهان,1370,7.060473
نرخ تملک خودرو,ایلام,1370,.15541729
نرخ تملک خودرو,بوشهر,1370,2.2800756
نرخ تملک خودرو,تهران,1370,14.608097
نرخ تملک خودرو,خراسان رضوی,1370,4.5067706
نرخ تملک خودرو,خوزستان,1370,4.7162709
نرخ تملک خودرو,زنجان,1370,1.2659683
نرخ تملک خودرو,سمنان,1370,2.1042089
نرخ تملک خودرو,سیستان و بلوچستان,1370,2.4069111
نرخ تملک خودرو,فارس,1370,7.7639437
نرخ تملک خودرو,کردستان,1370,1.3142065
نرخ تملک خودرو,کرمان,1370,10.647172
نرخ تملک خودرو,کرمانشاه,1370,2.1462517
نرخ تملک خودرو,کهگیلویه و بویراحمد,1370,1.247298
نرخ تملک خودرو,لرستان,1370,1.4134772
نرخ تملک خودرو,مازندران,1370,3.2483211
نرخ تملک خودرو,مرکزی,1370,3.2184298
نرخ تملک خودرو,هرمزگان,1370,6.1398587
نرخ تملک خودرو,همدان,1370,1.3754921
نرخ تملک خودرو,چهارمحال و بختیاری,1370,3.9077168
نرخ تملک خودرو,کل کشور,1370,6.1238918
نرخ تملک خودرو,گیلان,1370,4.8873587
نرخ تملک خودرو,یزد,1370,5.7138391
نرخ تملک خودرو,آذربایجان شرقی,1371,1.3440399
نرخ تملک خودرو,آذربایجان غربی,1371,.49393272
نرخ تملک خودرو,اصفهان,1371,3.8902164
نرخ تملک خودرو,ایلام,1371,2.3773255
نرخ تملک خودرو,بوشهر,1371,5.0306978
نرخ تملک خودرو,تهران,1371,10.408563
نرخ تملک خودرو,خراسان رضوی,1371,3.3500087
نرخ تملک خودرو,خوزستان,1371,3.6231666
نرخ تملک خودرو,زنجان,1371,2.9225502
نرخ تملک خودرو,سمنان,1371,5.8297682
نرخ تملک خودرو,سیستان و بلوچستان,1371,1.0428865
نرخ تملک خودرو,فارس,1371,12.508218
نرخ تملک خودرو,کردستان,1371,.28421444
نرخ تملک خودرو,کرمان,1371,9.3320131
نرخ تملک خودرو,کرمانشاه,1371,3.1175706
نرخ تملک خودرو,کهگیلویه و بویراحمد,1371,3.2705414
نرخ تملک خودرو,لرستان,1371,.89570141
نرخ تملک خودرو,مازندران,1371,.54560226
نرخ تملک خودرو,مرکزی,1371,1.569505
