topic_name,subtopic_name,indicator_name
معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,نرخ تملک خودرو
رفاه و عدالت اجتماعی,مسکن و سرپناه,میزان کیفیت مسکن
معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,نرخ اجاره‌نشینی
معیشت و فرهنگ اقتصادی,الگوی مصرف,امنیت غذایی روستایی
معیشت و فرهنگ اقتصادی,الگوی مصرف,امنیت غذایی شهری
معیشت و فرهنگ اقتصادی,الگوی مصرف,فشار مسکن روستایی
معیشت و فرهنگ اقتصادی,الگوی مصرف,فشار مسکن شهری
معیشت و فرهنگ اقتصادی,الگوی مصرف,مصرف تمایزی
معیشت و فرهنگ اقتصادی,الگوی مصرف,متوسط هزینه‌های روستایی
معیشت و فرهنگ اقتصادی,الگوی مصرف,متوسط هزینه‌های شهری
رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,ضریب نفوذ اینترنت
رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,پوشش شبکه برق
رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,پوشش فاضلاب شهری
رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,پوشش گازرسانی
رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,پوشش آب آشامیدنی سالم
رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,ضریب نفوذ تلفن ثابت
معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,نرخ اشتغال غیررسمی
معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,شکاف جنسیتی بیکاری
معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,سن شروع به کار مردان
معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,نرخ بیکاری زنان
معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,نرخ بیکاری مردان
معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,نرخ مشارکت اقتصادی زنان
معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,نرخ مشارکت اقتصادی مردان
زندگی خانوادگی,پایداری خانواده,تعداد زنان بدون همسر براثر طلاق
زندگی خانوادگی,پایداری خانواده,میزان طلاق زودهنگام
زندگی خانوادگی,پایداری خانواده,فراوانی طلاق
زندگی خانوادگی,پایداری خانواده,میزان خالص طلاق
زندگی خانوادگی,پایداری خانواده,میزان عمومی طلاق
زندگی خانوادگی,تشکیل خانواده,سهم ازدواج‌های نخست
زندگی خانوادگی,تشکیل خانواده,عمومیت ازدواج زنان
زندگی خانوادگی,تشکیل خانواده,عمومیت ازدواج مردان
زندگی خانوادگی,تشکیل خانواده,فراوانی ازدواج
زندگی خانوادگی,تشکیل خانواده,میانگین سن ازدواج زنان
زندگی خانوادگی,تشکیل خانواده,میانگین سن ازدواج مردان
زندگی خانوادگی,تشکیل خانواده,میزان عمومی ازدواج
رفاه و عدالت اجتماعی,حمایت اجتماعی,بار خدماتی مراکز سالمندان
رفاه و عدالت اجتماعی,حمایت اجتماعی,پوشش بیمه تأمین اجتماعی
رفاه و عدالت اجتماعی,حمایت اجتماعی,نرخ پوشش بهزیستی
رفاه و عدالت اجتماعی,حمایت اجتماعی,نرخ پوشش بیمه سلامت
زندگی خانوادگی,روابط خانوادگی,میزان اعتماد در خانواده
زندگی خانوادگی,روابط خانوادگی,میزان رضایت از همسر
زندگی خانوادگی,روابط خانوادگی,میزان فراغت با خانواده
رفاه و عدالت اجتماعی,زیرساخت آموزشی,سرانه تعداد مدارس ابتدایی
رفاه و عدالت اجتماعی,زیرساخت آموزشی,سرانه کتابخانه‌های عمومی
رفاه و عدالت اجتماعی,زیرساخت آموزشی,نسبت کلاس‌های چندپایه
رفاه و عدالت اجتماعی,سلامت و بهداشت,سرانه تخت بیمارستانی
رفاه و عدالت اجتماعی,سلامت و بهداشت,سرانه تعداد بیمارستان
رفاه و عدالت اجتماعی,سلامت و بهداشت,سرانه تعداد پایگاه‌های اورژانس
رفاه و عدالت اجتماعی,سلامت و بهداشت,سرانه تعداد پزشک
رفاه و عدالت اجتماعی,سلامت و بهداشت,سرانه تعداد داروخانه
دانش و سرمایه انسانی,عدالت آموزشی,میزان تورم آموزش
دانش و سرمایه انسانی,فراگیری آموزش,میانگین سال‌های تحصیل
دانش و سرمایه انسانی,فراگیری آموزش,نرخ بازماندگی از تحصیل ابتدایی
دانش و سرمایه انسانی,فراگیری آموزش,نرخ پوشش تحصیلی ابتدایی
زندگی خانوادگی,فرزندآوری,بعد خانوار روستایی
زندگی خانوادگی,فرزندآوری,بعد خانوار شهری
زندگی خانوادگی,فرزندآوری,تعداد مطلوب فرزند
زندگی خانوادگی,فرزندآوری,تعداد موالید
زندگی خانوادگی,فرزندآوری,میانگین سن فرزندآوری
زندگی خانوادگی,فرزندآوری,میزان باروری کل
معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,امید به آینده اقتصادی
معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,نگرش به اشتغال زنان
معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,نگرش به دریافت مالیات
معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,شکاف تملک مسکن
معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,توازن بودجه‌ای روستایی
معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,توازن بودجه‌ای شهری
معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,متوسط درآمد روستایی
معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,متوسط درآمد شهری
معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,ضریب جینی روستایی
معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,ضریب جینی شهری
رفاه و عدالت اجتماعی,مسکن و سرپناه,کمبود موجودی مسکن
رفاه و عدالت اجتماعی,مسکن و سرپناه,متوسط متراژ مسکن
رفاه و عدالت اجتماعی,مسکن و سرپناه,میانگین قیمت مسکن
مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,سرانه حضور در سینما
مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,ضریب نفوذ تلویزیون ایران
مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,ضریب نفوذ ماهواره
مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,نرخ استفاده از صندلی سینما
مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,نرخ عضویت در کتابخانه
مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,سرانه مطالعه کتاب
مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,سرانه مطالعه روزنامه
مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,سرانه مصرف موسیقی
مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,سرانه تماشای تئاتر
مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,تعداد نمایشگاه هنر تجسمی
مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,تعداد اجراهای موسیقی
مصرف فرهنگی و رسانه‌ای,مد و فراغت,متوسط هزینه‌های فرهنگی
مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,تعداد انتشار کتاب
مصرف فرهنگی و رسانه‌ای,مد و فراغت,مشارکت در کانون فرهنگی
مصرف فرهنگی و رسانه‌ای,مد و فراغت,سهم هزینه پوشاک
معنویت و ارزش‌های دینی,باور دینی,ارادت به اهل بیت
معنویت و ارزش‌های دینی,عمل دینی,میزان تقید به نماز
معنویت و ارزش‌های دینی,عمل دینی,میزان روزه‌داری
معنویت و ارزش‌های دینی,عمل دینی,میزان تلاوت قرآن
معنویت و ارزش‌های دینی,عمل دینی,شرکت در نماز جماعت
معنویت و ارزش‌های دینی,باور دینی,باور به خدا
معنویت و ارزش‌های دینی,باور دینی,باور به معاد
معنویت و ارزش‌های دینی,هویت و پیوند دینی,هویت دینی
معنویت و ارزش‌های دینی,هویت و پیوند دینی,هویت انقلابی
معنویت و ارزش‌های دینی,هویت و پیوند دینی,آرمان آزادی قدس
معنویت و ارزش‌های دینی,هویت و پیوند دینی,مرجعیت دینی
معنویت و ارزش‌های دینی,مشارکت مذهبی,مشارکت در عزاداری
معنویت و ارزش‌های دینی,مشارکت مذهبی,زیارت اماکن متبرکه
معنویت و ارزش‌های دینی,سبک زندگی دینی,باور به ضرورت حجاب
معنویت و ارزش‌های دینی,سبک زندگی دینی,برخورد با مصادیق غیردینی
معنویت و ارزش‌های دینی,سبک زندگی دینی,رواج فضائل اخلاقی
معنویت و ارزش‌های دینی,سبک زندگی دینی,گرایش هزینه‌ای مذهبی
معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,میزان تورم کل شهری
معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,سهم وام دریافتی
دانش و سرمایه انسانی,جهت‌گیری آموزشی,گرایش به ریاضی فیزیک
دانش و سرمایه انسانی,جهت‌گیری آموزشی,گرایش به علوم انسانی
دانش و سرمایه انسانی,جهت‌گیری آموزشی,گرایش به علوم تجربی
دانش و سرمایه انسانی,جهت‌گیری آموزشی,گرایش به رشته‌های فنی
دانش و سرمایه انسانی,کیفیت آموزشی,نسبت دانشجو به استاد
دانش و سرمایه انسانی,کیفیت آموزشی,نسبت دانش‌آموز به معلم ابتدایی
دانش و سرمایه انسانی,کیفیت آموزشی,نرخ ارتقای تحصیلی ابتدایی
دانش و سرمایه انسانی,کیفیت آموزشی,نرخ ترک تحصیل ابتدایی
دانش و سرمایه انسانی,عدالت آموزشی,سهم هزینه آموزش روستایی
دانش و سرمایه انسانی,عدالت آموزشی,سهم هزینه آموزش شهری
دانش و سرمایه انسانی,فراگیری آموزش,نرخ باسوادی
دانش و سرمایه انسانی,عدالت آموزشی,شکاف جنسیتی سواد
دانش و سرمایه انسانی,عدالت آموزشی,نسبت جنسی آموزش عالی
رفاه و عدالت اجتماعی,زیرساخت آموزشی,تراکم دانش‌آموز در کلاس
مسائل اجتماعی,جرم و ناامنی,میزان سرقت
مسائل اجتماعی,جرم و ناامنی,میزان قتل
مسائل اجتماعی,جرم و ناامنی,میزان قاچاق مواد
مسائل اجتماعی,جرم و ناامنی,نرخ ورودی زندان‌ها
مسائل اجتماعی,جرم و ناامنی,نرخ مرگ‌ومیر ناشی از تصادف
مسائل اجتماعی,سلامت اجتماعی,فراگیری مصرف مشروبات
مسائل اجتماعی,سلامت اجتماعی,سرانه مصرف سیگار
مسائل اجتماعی,سلامت اجتماعی,دریافت خدمات روانی
مسائل اجتماعی,سلامت اجتماعی,رواج درمان اعتیاد
مسائل اجتماعی,سلامت اجتماعی,میزان خودکشی
مسائل اجتماعی,سبک زندگی و مصرف,رواج عمل‌های زیبایی
مسائل اجتماعی,سبک زندگی و مصرف,رواج نگهداری حیوانات خانگی
مسائل اجتماعی,سبک زندگی و مصرف,رواج مصرف فست‌فود
