topic_name,index_score,province_name,province_pop,province_rank
دانش و سرمایه انسانی,45.571049,آذربایجان شرقی,4121000,2
دانش و سرمایه انسانی,23.932837,آذربایجان غربی,3579000,26
دانش و سرمایه انسانی,32.000492,اردبیل,1300000,17
دانش و سرمایه انسانی,42.075516,اصفهان,5475000,6
دانش و سرمایه انسانی,21.594183,البرز,3097000,22
دانش و سرمایه انسانی,6.4150429,ایلام,597000,23
دانش و سرمایه انسانی,29.704357,بوشهر,1299000,7
دانش و سرمایه انسانی,13.005601,تهران,14684000,25
دانش و سرمایه انسانی,28.575081,خراسان جنوبی,862000,18
دانش و سرمایه انسانی,18.492804,خراسان رضوی,7247000,27
دانش و سرمایه انسانی,.2255597,خراسان شمالی,871000,15
دانش و سرمایه انسانی,17.935461,خوزستان,5186000,16
دانش و سرمایه انسانی,47.669044,زنجان,1129000,5
دانش و سرمایه انسانی,12.159842,سمنان,806000,19
دانش و سرمایه انسانی,.017513538,سیستان و بلوچستان,3411000,31
دانش و سرمایه انسانی,43.298317,فارس,5180000,4
دانش و سرمایه انسانی,48.418358,قزوین,1358000,11
دانش و سرمایه انسانی,14.935544,قم,1490000,21
دانش و سرمایه انسانی,10.564857,لرستان,1788000,20
دانش و سرمایه انسانی,50.136841,مازندران,3438000,1
دانش و سرمایه انسانی,24.959982,مرکزی,1476000,8
دانش و سرمایه انسانی,.31260249,هرمزگان,2074000,30
دانش و سرمایه انسانی,18.061626,همدان,1767000,14
دانش و سرمایه انسانی,11.043249,چهارمحال و بختیاری,1004000,13
دانش و سرمایه انسانی,16.031116,کردستان,1701000,28
دانش و سرمایه انسانی,12.843624,کرمان,3463000,24
دانش و سرمایه انسانی,43.177742,کرمانشاه,1999000,10
دانش و سرمایه انسانی,26.10955,کل کشور,87134000,
دانش و سرمایه انسانی,29.112562,کهگیلویه و بویراحمد,767000,3
دانش و سرمایه انسانی,5.6234899,گلستان,2041000,29
دانش و سرمایه انسانی,11.99675,گیلان,2569000,9
دانش و سرمایه انسانی,1.591418,یزد,1355000,12
رفاه و عدالت اجتماعی,.89821118,آذربایجان شرقی,4121000,12
رفاه و عدالت اجتماعی,.78446811,آذربایجان غربی,3579000,19
رفاه و عدالت اجتماعی,38.276188,اردبیل,1300000,4
رفاه و عدالت اجتماعی,35.281792,اصفهان,5475000,8
رفاه و عدالت اجتماعی,3.7497869,البرز,3097000,30
رفاه و عدالت اجتماعی,72.363754,ایلام,597000,2
رفاه و عدالت اجتماعی,9.3849201,بوشهر,1299000,24
رفاه و عدالت اجتماعی,11.572573,تهران,14684000,28
رفاه و عدالت اجتماعی,28.794744,خراسان جنوبی,862000,14
رفاه و عدالت اجتماعی,13.159836,خراسان رضوی,7247000,26
رفاه و عدالت اجتماعی,10.713369,خراسان شمالی,871000,20
رفاه و عدالت اجتماعی,.11691853,خوزستان,5186000,3
رفاه و عدالت اجتماعی,40.583134,زنجان,1129000,7
رفاه و عدالت اجتماعی,16.54291,سمنان,806000,16
رفاه و عدالت اجتماعی,.58643275,سیستان و بلوچستان,3411000,31
رفاه و عدالت اجتماعی,2.7231703,فارس,5180000,6
رفاه و عدالت اجتماعی,49.56081,قزوین,1358000,15
رفاه و عدالت اجتماعی,4.1750908,قم,1490000,27
رفاه و عدالت اجتماعی,48.611408,لرستان,1788000,10
رفاه و عدالت اجتماعی,56.814392,مازندران,3438000,11
رفاه و عدالت اجتماعی,21.977289,مرکزی,1476000,18
رفاه و عدالت اجتماعی,6.7848372,هرمزگان,2074000,29
رفاه و عدالت اجتماعی,34.200893,همدان,1767000,22
رفاه و عدالت اجتماعی,40.688854,چهارمحال و بختیاری,1004000,9
رفاه و عدالت اجتماعی,27.03985,کردستان,1701000,17
رفاه و عدالت اجتماعی,13.354285,کرمان,3463000,25
رفاه و عدالت اجتماعی,10.148243,کرمانشاه,1999000,13
رفاه و عدالت اجتماعی,10.054385,کل کشور,87134000,
رفاه و عدالت اجتماعی,40.992931,کهگیلویه و بویراحمد,767000,1
رفاه و عدالت اجتماعی,30.579866,گلستان,2041000,21
رفاه و عدالت اجتماعی,27.034464,گیلان,2569000,23
رفاه و عدالت اجتماعی,47.723625,یزد,1355000,4
زندگی خانوادگی,24.950554,آذربایجان شرقی,4121000,23
زندگی خانوادگی,56.19735,آذربایجان غربی,3579000,8
زندگی خانوادگی,14.428827,اردبیل,1300000,16
زندگی خانوادگی,9.9538231,اصفهان,5475000,22
زندگی خانوادگی,6.7713046,البرز,3097000,27
زندگی خانوادگی,15.775976,ایلام,597000,26
زندگی خانوادگی,13.063891,بوشهر,1299000,25
زندگی خانوادگی,7.1036344,تهران,14684000,31
زندگی خانوادگی,55.379272,خراسان جنوبی,862000,2
زندگی خانوادگی,16.808666,خراسان رضوی,7247000,10
زندگی خانوادگی,44.473442,خراسان شمالی,871000,6
زندگی خانوادگی,24.637028,خوزستان,5186000,15
زندگی خانوادگی,13.529535,زنجان,1129000,13
زندگی خانوادگی,5.1435146,سمنان,806000,14
زندگی خانوادگی,46.559303,سیستان و بلوچستان,3411000,1
زندگی خانوادگی,9.7749557,فارس,5180000,21
زندگی خانوادگی,29.175213,قزوین,1358000,9
زندگی خانوادگی,15.108016,قم,1490000,19
زندگی خانوادگی,25.82584,لرستان,1788000,17
زندگی خانوادگی,19.610876,مازندران,3438000,24
زندگی خانوادگی,5.7794747,مرکزی,1476000,20
زندگی خانوادگی,19.364775,هرمزگان,2074000,3
