subtopic_name,topic_name,province_name,subtopic_score
باور دینی,معنویت و ارزش‌های دینی,آذربایجان شرقی,10.650242
عمل دینی,معنویت و ارزش‌های دینی,آذربایجان شرقی,7.4335642
هویت و پیوند دینی,معنویت و ارزش‌های دینی,آذربایجان شرقی,32.391609
مشارکت مذهبی,معنویت و ارزش‌های دینی,آذربایجان شرقی,23.969337
سبک زندگی دینی,معنویت و ارزش‌های دینی,آذربایجان شرقی,2.3227732
تشکیل خانواده,زندگی خانوادگی,آذربایجان شرقی,14.449406
فرزندآوری,زندگی خانوادگی,آذربایجان شرقی,14.185217
روابط خانوادگی,زندگی خانوادگی,آذربایجان شرقی,10.799642
پایداری خانواده,زندگی خانوادگی,آذربایجان شرقی,8.4880142
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,آذربایجان شرقی,1.3350893
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,آذربایجان شرقی,8.7922297
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,آذربایجان شرقی,54.139469
مد و فراغت,مصرف فرهنگی و رسانه‌ای,آذربایجان شرقی,15.728388
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,آذربایجان شرقی,9.5377636
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,آذربایجان شرقی,53.166187
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,آذربایجان شرقی,31.100018
تعلق ملی,همبستگی و سرمایه اجتماعی,آذربایجان شرقی,6.1259375
عدالت آموزشی,دانش و سرمایه انسانی,آذربایجان شرقی,11.084169
فراگیری آموزش,دانش و سرمایه انسانی,آذربایجان شرقی,31.355551
کیفیت آموزشی,دانش و سرمایه انسانی,آذربایجان شرقی,43.409691
الگوی مصرف,معیشت و فرهنگ اقتصادی,آذربایجان شرقی,22.701115
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,آذربایجان شرقی,50.989544
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,آذربایجان شرقی,30.682713
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,آذربایجان شرقی,10.474013
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,آذربایجان شرقی,35.928436
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,آذربایجان شرقی,1.3979112
حمایت اجتماعی,رفاه و عدالت اجتماعی,آذربایجان شرقی,36.477894
زیرساخت آموزشی,رفاه و عدالت اجتماعی,آذربایجان شرقی,16.976862
سلامت و بهداشت,رفاه و عدالت اجتماعی,آذربایجان شرقی,36.207088
مسکن و سرپناه,رفاه و عدالت اجتماعی,آذربایجان شرقی,9.7733717
جرم و ناامنی,مسائل اجتماعی,آذربایجان شرقی,48.178764
سلامت اجتماعی,مسائل اجتماعی,آذربایجان شرقی,31.575619
سبک زندگی و مصرف,مسائل اجتماعی,آذربایجان شرقی,50.417236
باورها و رفتارهای فرهنگی,مسائل اجتماعی,آذربایجان شرقی,14.973503
روابط و امنیت اجتماعی,مسائل اجتماعی,آذربایجان شرقی,7.9005041
باور دینی,معنویت و ارزش‌های دینی,آذربایجان غربی,40.214664
عمل دینی,معنویت و ارزش‌های دینی,آذربایجان غربی,12.010831
هویت و پیوند دینی,معنویت و ارزش‌های دینی,آذربایجان غربی,.88510561
مشارکت مذهبی,معنویت و ارزش‌های دینی,آذربایجان غربی,2.9012899
سبک زندگی دینی,معنویت و ارزش‌های دینی,آذربایجان غربی,29.479683
تشکیل خانواده,زندگی خانوادگی,آذربایجان غربی,60.022808
فرزندآوری,زندگی خانوادگی,آذربایجان غربی,51.72105
روابط خانوادگی,زندگی خانوادگی,آذربایجان غربی,45.491405
پایداری خانواده,زندگی خانوادگی,آذربایجان غربی,27.210264
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,آذربایجان غربی,8.673605
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,آذربایجان غربی,23.608665
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,آذربایجان غربی,41.538128
مد و فراغت,مصرف فرهنگی و رسانه‌ای,آذربایجان غربی,21.187199
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,آذربایجان غربی,3.2559774
