province_name,year,index_score,topic_name
آذربایجان شرقی,1394,11.995571,معنویت و ارزش‌های دینی
آذربایجان غربی,1394,11.199514,معنویت و ارزش‌های دینی
اردبیل,1394,29.200474,معنویت و ارزش‌های دینی
اصفهان,1394,39.297813,معنویت و ارزش‌های دینی
البرز,1394,1.1998696,معنویت و ارزش‌های دینی
ایلام,1394,21.277565,معنویت و ارزش‌های دینی
بوشهر,1394,29.546721,معنویت و ارزش‌های دینی
تهران,1394,4.8079405,معنویت و ارزش‌های دینی
خراسان جنوبی,1394,6.1869497,معنویت و ارزش‌های دینی
خراسان رضوی,1394,18.236263,معنویت و ارزش‌های دینی
خراسان شمالی,1394,4.9656777,معنویت و ارزش‌های دینی
خوزستان,1394,26.046942,معنویت و ارزش‌های دینی
زنجان,1394,12.79883,معنویت و ارزش‌های دینی
سمنان,1394,2.7666674,معنویت و ارزش‌های دینی
سیستان و بلوچستان,1394,13.748815,معنویت و ارزش‌های دینی
فارس,1394,9.6349125,معنویت و ارزش‌های دینی
قزوین,1394,7.5541325,معنویت و ارزش‌های دینی
قم,1394,58.499763,معنویت و ارزش‌های دینی
کردستان,1394,31.741751,معنویت و ارزش‌های دینی
کرمان,1394,.17178796,معنویت و ارزش‌های دینی
کرمانشاه,1394,4.542017,معنویت و ارزش‌های دینی
کهگیلویه و بویراحمد,1394,39.635262,معنویت و ارزش‌های دینی
لرستان,1394,22.481592,معنویت و ارزش‌های دینی
مازندران,1394,6.3767228,معنویت و ارزش‌های دینی
مرکزی,1394,8.650177,معنویت و ارزش‌های دینی
هرمزگان,1394,25.9482,معنویت و ارزش‌های دینی
همدان,1394,27.995478,معنویت و ارزش‌های دینی
چهارمحال و بختیاری,1394,32.947109,معنویت و ارزش‌های دینی
کل کشور,1394,32.799217,معنویت و ارزش‌های دینی
گلستان,1394,6.7030439,معنویت و ارزش‌های دینی
گیلان,1394,14.037304,معنویت و ارزش‌های دینی
یزد,1394,35.298634,معنویت و ارزش‌های دینی
آذربایجان شرقی,1402,40.170979,معنویت و ارزش‌های دینی
آذربایجان غربی,1402,16.74548,معنویت و ارزش‌های دینی
اردبیل,1402,24.996723,معنویت و ارزش‌های دینی
اصفهان,1402,15.941866,معنویت و ارزش‌های دینی
